@timestamp,event.action,message,process.name,process.parent.name,process.args,dll.pe.original_file_name,dll.name,file.name,registry.path,registry.value,dns.question.name,destination.address,domain.abused,domain.spamhaus.score,ipgeolocation.country.name,ipgeolocation.city.name,ipgeolocation.latitude,ipgeolocation.longitude,ipgeolocation.isp,kibana.alert.rule.threat.tactic.name,kibana.alert.rule.threat.technique.subtechnique.name
"Sep 28, 2024 @ 18:13:08.956",start,Endpoint process event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,explorer.exe,C:\Users\John\39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:08.944",execution,Malware Detection Alert,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,explorer.exe,C:\Users\John\39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:52:47.082",start,Endpoint process event,hjadvay.exe,services.exe,C:\Windows\SysWOW64\hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Execution, Defense Evasion","Service Execution, Invalid Code Signature"
"Sep 7, 2024 @ 21:50:53.012",deletion,Endpoint file event,cmd.exe,-,-,-,-,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,Defense Evasion,"Invalid Code Signature, File Deletion"
"Sep 7, 2024 @ 21:50:53.011",end,Endpoint process event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,explorer.exe,C:\Users\John\5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Defense Evasion,"Invalid Code Signature, File Deletion"
"Sep 7, 2024 @ 21:48:30.773",end,Endpoint process event,cmd.exe,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,"C:\Windows\system32\cmd.exe, /c, del, C:\Users\John\5CB460~1.EXE, >, nul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.772",deletion,Endpoint file event,cmd.exe,-,-,-,-,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.701",end,Endpoint process event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,explorer.exe,C:\Users\John\5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.464",start,Endpoint process event,cmd.exe,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,"C:\Windows\system32\cmd.exe, /c, del, C:\Users\John\5CB460~1.EXE, >, nul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.182",modification,Endpoint registry event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,IntranetName,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.182",modification,Endpoint registry event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,UNCAsIntranet,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.182",modification,Endpoint registry event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.181",modification,Endpoint registry event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.037",modification,Endpoint registry event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,HKLM\SYSTEM\ControlSet001\Services\Windows Test My Version 4.0\Description,Description,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:30.024",load,Endpoint DLL load event,hjadvay.exe,-,-,-,hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:20.015",start,Endpoint process event,hjadvay.exe,services.exe,C:\Windows\SysWOW64\hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:20.014",execution,Malware Detection Alert,hjadvay.exe,services.exe,C:\Windows\SysWOW64\hjadvay.exe,-,-,hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:19.999",creation,Endpoint file event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:19.998",creation,Malware Detection Alert,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,explorer.exe,C:\Users\John\5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,hjadvay.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:19.968",load,Endpoint DLL load event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:14.746",execution,Malware Detection Alert,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,explorer.exe,C:\Users\John\5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 7, 2024 @ 21:48:14.746",start,Endpoint process event,5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,explorer.exe,C:\Users\John\5cb460e537ea1a574718f64cfd1f24f16794dd01bf7795525fe918b93a8221af.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:54:31.956",end,Endpoint process event,wsqmcons.exe,svchost.exe,C:\Windows\System32\wsqmcons.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:54:31.165",start,Endpoint process event,wsqmcons.exe,svchost.exe,C:\Windows\System32\wsqmcons.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:40.947",end,Endpoint process event,MSBuild.exe,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\MSBuild.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.878",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,UNCAsIntranet,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.878",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.877",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,IntranetName,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.877",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.868",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\History\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.867",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Cookies\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.866",modification,Endpoint registry event,MSBuild.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Content\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.793",end,Endpoint process event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,explorer.exe,C:\Users\John\acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.778",start,Endpoint process event,MSBuild.exe,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\MSBuild.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.270",load,Endpoint DLL load event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,System.Core.dll,System.Core.ni.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:19.155",load,Endpoint DLL load event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,System.dll,System.ni.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:18.069",load,Endpoint DLL load event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,clr.dll,clr.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:17.778",load,Endpoint DLL load event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,otr.exe,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:11.036",start,Endpoint process event,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,explorer.exe,C:\Users\John\acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 23, 2024 @ 14:53:11.030",execution,Malware Detection Alert,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,explorer.exe,C:\Users\John\acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,acae26cfe00f442507c384c69eb5a85326754c214795becd65ad4e798e881a83.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 13:34:47.947",end,Endpoint process event,069739cb5a77bd4d1782bdcf1e0324d7c4d63493d4addfb0913093981f96c8c2.exe,explorer.exe,C:\Users\John\069739cb5a77bd4d1782bdcf1e0324d7c4d63493d4addfb0913093981f96c8c2.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 13:34:47.943",lookup_requested,"DNS query is completed for the name note.youdao.com, type 28, query options 2251800887582720 with status 1460 Results  ",069739cb5a77bd4d1782bdcf1e0324d7c4d63493d4addfb0913093981f96c8c2.exe,-,-,-,-,-,-,-,note.youdao.com,163.181.199.245,-,-,Singapore,Singapore,1.29041,103.85211,Alibaba Cloud LLC,-,-
"Sep 16, 2024 @ 13:34:30.788",modification,Endpoint registry event,069739cb5a77bd4d1782bdcf1e0324d7c4d63493d4addfb0913093981f96c8c2.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 13:34:30.787",modification,Endpoint registry event,069739cb5a77bd4d1782bdcf1e0324d7c4d63493d4addfb0913093981f96c8c2.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
